Species,Population,Year,Altitude
S,4817,2034,525
S,1572,2034,575
S,1795,2034,625
S,31,2034,675
S,28,2034,725
S,277,2034,775
S,216,2034,825
S,15,2034,875
S,569,2034,925
S,507,2034,975
S,32,2034,1025
S,38,2034,1075
S,16,2034,1125
S,181,2034,1175
S,37,2034,1225
S,6,2034,1275
S,7,2034,1325
S,0,2034,1375
S,0,2034,1425
S,78,2034,1475
S,51,2034,1525
S,0,2034,1575
S,0,2034,1625
S,0,2034,1675
S,0,2034,1725
S,0,2034,1775
S,0,2034,1825
S,0,2034,1875
S,0,2034,1925
S,1,2034,1975
S,0,2035,225
S,1,2035,275
S,219,2035,325
S,59,2035,375
S,43,2035,425
S,737,2035,475
S,4809,2035,525
S,1557,2035,575
S,1761,2035,625
S,32,2035,675
S,33,2035,725
S,281,2035,775
S,215,2035,825
S,14,2035,875
S,568,2035,925
S,511,2035,975
S,36,2035,1025
S,38,2035,1075
S,13,2035,1125
S,182,2035,1175
S,40,2035,1225
S,7,2035,1275
S,7,2035,1325
S,0,2035,1375
S,0,2035,1425
S,81,2035,1475
S,53,2035,1525
S,0,2035,1575
S,0,2035,1625
S,0,2035,1675
S,0,2035,1725
S,0,2035,1775
S,0,2035,1825
S,0,2035,1875
S,0,2035,1925
S,1,2035,1975
S,0,2036,225
S,0,2036,275
S,209,2036,325
S,60,2036,375
S,43,2036,425
S,757,2036,475
S,4797,2036,525
S,1580,2036,575
S,1799,2036,625
S,37,2036,675
S,28,2036,725
S,283,2036,775
S,209,2036,825
S,15,2036,875
S,544,2036,925
S,507,2036,975
S,37,2036,1025
S,40,2036,1075
S,15,2036,1125
S,190,2036,1175
S,44,2036,1225
S,7,2036,1275
S,8,2036,1325
S,0,2036,1375
S,0,2036,1425
S,82,2036,1475
S,51,2036,1525
S,0,2036,1575
S,0,2036,1625
S,0,2036,1675
S,0,2036,1725
S,0,2036,1775
S,0,2036,1825
S,0,2036,1875
S,0,2036,1925
S,1,2036,1975
S,0,2037,225
S,0,2037,275
S,207,2037,325
S,63,2037,375
S,43,2037,425
S,749,2037,475
S,4712,2037,525
S,1576,2037,575
S,1820,2037,625
S,42,2037,675
S,26,2037,725
S,288,2037,775
S,209,2037,825
S,17,2037,875
S,516,2037,925
S,498,2037,975
S,31,2037,1025
S,41,2037,1075
S,15,2037,1125
S,187,2037,1175
S,41,2037,1225
S,7,2037,1275
S,5,2037,1325
