Species,Year,Altitude,Population
B,2025,175.69444444444446,0.0
B,2025,227.08333333333331,0.8633544279140598
B,2025,278.4722222222222,2.447744864601224
B,2025,329.8611111111111,6.943520556352174
B,2025,381.25,13.378752917482648
B,2025,432.6388888888889,25.10033824664368
B,2025,484.0277777777777,40.33576982750827
B,2025,535.4166666666666,47.62453682043617
B,2025,586.8055555555555,56.71646211073794
B,2025,638.1944444444445,60.37497726980696
B,2025,689.5833333333333,60.15351585169105
B,2025,740.9722222222222,58.96572462958922
B,2025,792.3611111111111,68.18926869525006
B,2025,843.75,57.5309142641248
B,2025,895.1388888888888,51.774636526371296
B,2025,946.5277777777777,75.91343332425659
B,2025,997.9166666666666,82.47078522273476
B,2025,1049.3055555555557,53.327200129138774
B,2025,1100.6944444444443,16.51788520694592
B,2025,1152.0833333333333,16.829764158783274
B,2025,1203.4722222222222,15.096911300636046
B,2025,1254.8611111111109,11.467388522569792
B,2025,1306.25,7.174698467024978
B,2025,1357.6388888888887,9.114768687742394
B,2025,1409.0277777777778,19.440762025378508
B,2025,1460.4166666666665,31.866830803617276
B,2025,1511.8055555555557,28.593029669716934
B,2025,1563.1944444444443,16.269243490529806
B,2025,1614.583333333333,9.490920036907227
B,2025,1665.9722222222222,9.20168206383241
B,2025,1717.3611111111109,6.107127234971272
B,2025,1768.75,2.504223248237624
B,2025,1820.1388888888887,1.1052599956683815
B,2025,1871.5277777777778,1.0195208794269335
B,2025,1922.9166666666665,1.1169563889505256
B,2025,1974.3055555555557,1.0261363846895133
B,2026,175.69444444444446,0.7339712411493049
B,2026,227.08333333333331,3.3299231020291673
B,2026,278.4722222222222,7.491609470506975
B,2026,329.8611111111111,13.340686650270497
B,2026,381.25,20.501215576858062
B,2026,432.6388888888889,28.680426980031456
B,2026,484.0277777777777,39.055684264941405
B,2026,535.4166666666666,45.66768505466173
B,2026,586.8055555555555,56.47461222488812
B,2026,638.1944444444445,59.90531898235321
B,2026,689.5833333333333,59.80852591734079
B,2026,740.9722222222222,59.79065106980082
B,2026,792.3611111111111,68.67128225989353
B,2026,843.75,57.82797540044724
B,2026,895.1388888888888,52.18806217960043
B,2026,946.5277777777777,76.10578773676372
B,2026,997.9166666666666,82.54409702930629
B,2026,1049.3055555555557,53.341860479585506
B,2026,1100.6944444444443,16.66037714474604
B,2026,1152.0833333333333,16.92517025493294
B,2026,1203.4722222222222,15.174107773765126
B,2026,1254.8611111111109,11.486064075108771
B,2026,1306.25,7.162971300113309
B,2026,1357.6388888888887,9.102187770989005
B,2026,1409.0277777777778,19.528995941621833
B,2026,1460.4166666666665,31.96472415669603
