Species,Population,Year
N,6948.4,2103
N,6977,2104
N,7010.7,2105
N,7329.1,2106
N,7545.8,2107
N,7788.2,2108
N,7959.2,2109
N,8113.7,2110
N,8264.5,2111
N,8319.8,2112
N,8538.2,2113
N,8696.9,2114
N,8775,2115
N,8761.8,2116
N,9004.3,2117
N,9044.2,2118
N,9108,2119
N,9285.7,2120
N,9603,2121
N,9878.8,2122
N,10020.2,2123
N,10284.5,2124
N,10489.3,2125
