Species,Population,Year,Altitude
S,6224,2075,675
S,6224,2075,725
S,6224,2075,775
S,6224,2075,825
S,6224,2075,875
S,6224,2075,925
S,6224,2075,975
S,6224,2075,1025
S,6224,2075,1075
S,6224,2075,1125
S,6224,2075,1175
S,6224,2075,1225
S,6224,2075,1275
S,6224,2075,1325
S,6224,2075,1375
S,6224,2075,1425
S,6224,2075,1475
S,6224,2075,1525
S,6224,2075,1575
S,6224,2075,1625
S,6224,2075,1675
S,6224,2075,1725
S,6224,2075,1775
S,6224,2075,1825
S,6224,2075,1875
S,6224,2075,1925
S,6224,2075,1975
D,4344,2075,225
D,4344,2075,275
D,4344,2075,325
D,4344,2075,375
D,4344,2075,425
D,4344,2075,475
D,4344,2075,525
D,4344,2075,575
D,4344,2075,625
D,4344,2075,675
D,4344,2075,725
D,4344,2075,775
D,4344,2075,825
D,4344,2075,875
D,4344,2075,925
D,4344,2075,975
D,4344,2075,1025
D,4344,2075,1075
D,4344,2075,1125
D,4344,2075,1175
D,4344,2075,1225
D,4344,2075,1275
D,4344,2075,1325
D,4344,2075,1375
D,4344,2075,1425
D,4344,2075,1475
D,4344,2075,1525
D,4344,2075,1575
D,4344,2075,1625
D,4344,2075,1675
D,4344,2075,1725
D,4344,2075,1775
D,4344,2075,1825
D,4344,2075,1875
D,4344,2075,1925
D,4344,2075,1975
B,2080,2075,225
B,2080,2075,275
B,2080,2075,325
B,2080,2075,375
B,2080,2075,425
B,2080,2075,475
B,2080,2075,525
B,2080,2075,575
B,2080,2075,625
B,2080,2075,675
B,2080,2075,725
B,2080,2075,775
B,2080,2075,825
B,2080,2075,875
B,2080,2075,925
B,2080,2075,975
B,2080,2075,1025
B,2080,2075,1075
B,2080,2075,1125
B,2080,2075,1175
B,2080,2075,1225
B,2080,2075,1275
B,2080,2075,1325
B,2080,2075,1375
B,2080,2075,1425
B,2080,2075,1475
B,2080,2075,1525
B,2080,2075,1575
B,2080,2075,1625
B,2080,2075,1675
B,2080,2075,1725
B,2080,2075,1775
B,2080,2075,1825
B,2080,2075,1875
B,2080,2075,1925
B,2080,2075,1975
N,0.6,2075,225
N,3.7,2075,275
N,15.3,2075,325
N,19.6,2075,375
N,53.8,2075,425
N,95.1,2075,475
N,112.6,2075,525
N,127.7,2075,575
N,163.4,2075,625
N,228.1,2075,675
N,343.6,2075,725
N,456.9,2075,775
N,497.8,2075,825
N,443.2,2075,875
N,349.3,2075,925
N,283,2075,975
N,188.9,2075,1025
N,131.5,2075,1075
N,100.4,2075,1125
N,77.8,2075,1175
N,64.3,2075,1225
N,57.9,2075,1275
N,46.4,2075,1325
N,39.1,2075,1375
N,40.7,2075,1425
N,46.7,2075,1475
N,43.7,2075,1525
N,33.8,2075,1575
N,23.3,2075,1625
N,17.9,2075,1675
N,14.3,2075,1725
N,13.2,2075,1775
N,11.8,2075,1825
N,10.3,2075,1875
N,10.3,2075,1925
N,8.8,2075,1975
S,13248,2100,225
S,13248,2100,275
S,13248,2100,325
S,13248,2100,375
S,13248,2100,425
S,13248,2100,475
S,13248,2100,525
S,13248,2100,575
S,13248,2100,625
S,13248,2100,675
S,13248,2100,725
S,13248,2100,775
S,13248,2100,825
S,13248,2100,875
S,13248,2100,925
S,13248,2100,975
S,13248,2100,1025
S,13248,2100,1075
S,13248,2100,1125
S,13248,2100,1175
S,13248,2100,1225
S,13248,2100,1275
S,13248,2100,1325
S,13248,2100,1375
S,13248,2100,1425
S,13248,2100,1475
S,13248,2100,1525
S,13248,2100,1575
S,13248,2100,1625
S,13248,2100,1675
S,13248,2100,1725
S,13248,2100,1775
S,13248,2100,1825
S,13248,2100,1875
S,13248,2100,1925
S,13248,2100,1975
D,4778,2100,225
D,4778,2100,275
D,4778,2100,325
D,4778,2100,375
D,4778,2100,425
D,4778,2100,475
D,4778,2100,525
D,4778,2100,575
D,4778,2100,625
D,4778,2100,675
D,4778,2100,725
D,4778,2100,775
D,4778,2100,825
D,4778,2100,875
D,4778,2100,925
D,4778,2100,975
D,4778,2100,1025
D,4778,2100,1075
D,4778,2100,1125
D,4778,2100,1175
D,4778,2100,1225
D,4778,2100,1275
D,4778,2100,1325
D,4778,2100,1375
D,4778,2100,1425
D,4778,2100,1475
D,4778,2100,1525
D,4778,2100,1575
D,4778,2100,1625
D,4778,2100,1675
D,4778,2100,1725
D,4778,2100,1775
D,4778,2100,1825
D,4778,2100,1875
D,4778,2100,1925
D,4778,2100,1975
B,2326,2100,225
B,2326,2100,275
B,2326,2100,325
B,2326,2100,375
B,2326,2100,425
B,2326,2100,475
B,2326,2100,525
B,2326,2100,575
B,2326,2100,625
B,2326,2100,675
B,2326,2100,725
B,2326,2100,775
B,2326,2100,825
B,2326,2100,875
B,2326,2100,925
B,2326,2100,975
B,2326,2100,1025
B,2326,2100,1075
B,2326,2100,1125
B,2326,2100,1175
B,2326,2100,1225
B,2326,2100,1275
B,2326,2100,1325
B,2326,2100,1375
B,2326,2100,1425
B,2326,2100,1475
B,2326,2100,1525
B,2326,2100,1575
B,2326,2100,1625
B,2326,2100,1675
B,2326,2100,1725
B,2326,2100,1775
B,2326,2100,1825
B,2326,2100,1875
B,2326,2100,1925
B,2326,2100,1975
N,0.7,2100,225
N,3.3,2100,275
N,10.1,2100,325
N,16.8,2100,375
N,49.2,2100,425
N,87.4,2100,475
N,128.1,2100,525
N,173.9,2100,575
N,231.2,2100,625
N,362.2,2100,675
N,532.2,2100,725
N,676.2,2100,775
N,748.7,2100,825
N,685.6,2100,875
N,604.1,2100,925
N,478.4,2100,975
N,317,2100,1025
N,225.3,2100,1075
N,164.4,2100,1125
N,128.7,2100,1175
N,106.9,2100,1225
N,91.3,2100,1275
N,70.7,2100,1325
N,61.4,2100,1375
N,59.5,2100,1425
N,63,2100,1475
N,57.3,2100,1525
N,45.3,2100,1575
N,35.2,2100,1625
N,27.1,2100,1675
N,22.1,2100,1725
N,18.8,2100,1775
N,19,2100,1825
N,15.7,2100,1875
N,16.9,2100,1925
N,13.6,2100,1975
S,6228,2125,225
S,6228,2125,275
S,6228,2125,325
S,6228,2125,375
S,6228,2125,425
S,6228,2125,475
S,6228,2125,525
S,6228,2125,575
S,6228,2125,625
S,6228,2125,675
S,6228,2125,725
S,6228,2125,775
S,6228,2125,825
S,6228,2125,875
S,6228,2125,925
S,6228,2125,975
S,6228,2125,1025
S,6228,2125,1075
S,6228,2125,1125
S,6228,2125,1175
S,6228,2125,1225
S,6228,2125,1275
S,6228,2125,1325
S,6228,2125,1375
